year,period,value_type,mean_temp_c,baseline_1961_1990,baseline_1991_2020
1912,August,Monthly,11.7,14.24,15.11
1912,September,Monthly,10.2,12.2,12.93
1912,October,Monthly,7.5,9.43,9.73
1912,November,Monthly,5.3,5.51,6.48
1912,December,Monthly,5.3,3.83,4.2
1912,Winter,Seasonal,4,3.27,4.08
1912,Spring,Seasonal,8.08,7.05,8.07
1912,Summer,Seasonal,12.84,13.78,14.59
1912,Autumn,Seasonal,7.65,9.05,9.71
1912,Annual,Annual,8.17,8.31,9.14
1913,January,Monthly,3.4,3.02,3.92
1913,February,Monthly,3.9,2.96,4.13
1913,March,Monthly,4.8,4.67,5.7
1913,April,Monthly,6.7,6.73,7.87
1913,May,Monthly,10,9.75,10.64
1913,June,Monthly,12.7,12.66,13.33
1913,July,Monthly,13.5,14.4,15.29
1913,August,Monthly,14,14.24,15.11
1913,September,Monthly,12.6,12.2,12.93
1913,October,Monthly,9.9,9.43,9.73
1913,November,Monthly,7.2,5.51,6.48
1913,December,Monthly,4.1,3.83,4.2
1913,Winter,Seasonal,4.23,3.27,4.08
1913,Spring,Seasonal,7.17,7.05,8.07
1913,Summer,Seasonal,13.4,13.78,14.59
1913,Autumn,Seasonal,9.9,9.05,9.71
1913,Annual,Annual,8.59,8.31,9.14
1914,January,Monthly,2.8,3.02,3.92
1914,February,Monthly,5.5,2.96,4.13
1914,March,Monthly,4.8,4.67,5.7
1914,April,Monthly,8.6,6.73,7.87
1914,May,Monthly,9.4,9.75,10.64
1914,June,Monthly,13.1,12.66,13.33
1914,July,Monthly,14.6,14.4,15.29
1914,August,Monthly,14.8,14.24,15.11
1914,September,Monthly,12.2,12.2,12.93
1914,October,Monthly,9.4,9.43,9.73
1914,November,Monthly,5.8,5.51,6.48
1914,December,Monthly,3.4,3.83,4.2
1914,Winter,Seasonal,4.09,3.27,4.08
1914,Spring,Seasonal,7.59,7.05,8.07
1914,Summer,Seasonal,14.14,13.78,14.59
1914,Autumn,Seasonal,9.11,9.05,9.71
1914,Annual,Annual,8.7,8.31,9.14
1915,January,Monthly,3,3.02,3.92
1915,February,Monthly,3.1,2.96,4.13
1915,March,Monthly,4.2,4.67,5.7
1915,April,Monthly,6.8,6.73,7.87
1915,May,Monthly,9.3,9.75,10.64
1915,June,Monthly,12.8,12.66,13.33
1915,July,Monthly,13.4,14.4,15.29
1915,August,Monthly,14.1,14.24,15.11
1915,September,Monthly,12.2,12.2,12.93
1915,October,Monthly,8.2,9.43,9.73
1915,November,Monthly,2.6,5.51,6.48
1915,December,Monthly,3.8,3.83,4.2
1915,Winter,Seasonal,3.15,3.27,4.08
1915,Spring,Seasonal,6.75,7.05,8.07
1915,Summer,Seasonal,13.41,13.78,14.59
1915,Autumn,Seasonal,7.67,9.05,9.71
1915,Annual,Annual,7.81,8.31,9.14
1916,January,Monthly,6.3,3.02,3.92
1916,February,Monthly,2.7,2.96,4.13
1916,March,Monthly,2.4,4.67,5.7
1916,April,Monthly,7,6.73,7.87
1916,May,Monthly,9.9,9.75,10.64
1916,June,Monthly,10.6,12.66,13.33
1916,July,Monthly,13.9,14.4,15.29
1916,August,Monthly,14.9,14.24,15.11
1916,September,Monthly,11.9,12.2,12.93
1916,October,Monthly,9.3,9.43,9.73
1916,November,Monthly,6,5.51,6.48
1916,December,Monthly,1.9,3.83,4.2
1916,Winter,Seasonal,4.32,3.27,4.08
1916,Spring,Seasonal,6.44,7.05,8.07
1916,Summer,Seasonal,13.18,13.78,14.59
1916,Autumn,Seasonal,9.1,9.05,9.71
1916,Annual,Annual,8.11,8.31,9.14
1917,January,Monthly,1.1,3.02,3.92
1917,February,Monthly,1,2.96,4.13
1917,March,Monthly,2.4,4.67,5.7
1917,April,Monthly,4.3,6.73,7.87
1917,May,Monthly,10.8,9.75,10.64
1917,June,Monthly,13.2,12.66,13.33
1917,July,Monthly,14.6,14.4,15.29
1917,August,Monthly,14.4,14.24,15.11
1917,September,Monthly,12.7,12.2,12.93
1917,October,Monthly,6.5,9.43,9.73
1917,November,Monthly,6.9,5.51,6.48
1917,December,Monthly,1.9,3.83,4.2
1917,Winter,Seasonal,1.34,3.27,4.08
1917,Spring,Seasonal,5.84,7.05,8.07
1917,Summer,Seasonal,14.09,13.78,14.59
1917,Autumn,Seasonal,8.68,9.05,9.71
1917,Annual,Annual,7.52,8.31,9.14
1918,January,Monthly,2.6,3.02,3.92
1918,February,Monthly,5.4,2.96,4.13
1918,March,Monthly,4.9,4.67,5.7
1918,April,Monthly,5.9,6.73,7.87
1918,May,Monthly,11.3,9.75,10.64
1918,June,Monthly,11.9,12.66,13.33
1918,July,Monthly,14,14.4,15.29
1918,August,Monthly,14.6,14.24,15.11
1918,September,Monthly,10.4,12.2,12.93
1918,October,Monthly,8.3,9.43,9.73
1918,November,Monthly,4.8,5.51,6.48
1918,December,Monthly,5.5,3.83,4.2
1918,Winter,Seasonal,3.25,3.27,4.08
1918,Spring,Seasonal,7.36,7.05,8.07
1918,Summer,Seasonal,13.55,13.78,14.59
1918,Autumn,Seasonal,7.83,9.05,9.71
1918,Annual,Annual,8.33,8.31,9.14
1919,January,Monthly,2.3,3.02,3.92
1919,February,Monthly,1.1,2.96,4.13
1919,March,Monthly,2.5,4.67,5.7
1919,April,Monthly,6.2,6.73,7.87
1919,May,Monthly,11.6,9.75,10.64
1919,June,Monthly,12.5,12.66,13.33
1919,July,Monthly,12.9,14.4,15.29
1919,August,Monthly,14.2,14.24,15.11
1919,September,Monthly,11.6,12.2,12.93
1919,October,Monthly,7.1,9.43,9.73
1919,November,Monthly,2.3,5.51,6.48
1919,December,Monthly,4.1,3.83,4.2
1919,Winter,Seasonal,3.06,3.27,4.08
1919,Spring,Seasonal,6.78,7.05,8.07
1919,Summer,Seasonal,13.23,13.78,14.59
