Date,High (kg),Low (kg),Close (kg)
2012-02-20 0:00,57565.09,52567.34,53052.48
2012-01-21 0:00,56678.52,53063.47,55733.18
2011-12-22 0:00,53675.68,48968.25,53596.3
2011-11-22 0:00,56599,50296.87,51854.39
2011-10-23 0:00,57963.13,52612.38,53971.33
2011-09-23 0:00,56432.86,49441,52788.37
2011-08-24 0:00,61757.25,54797.42,56012.51
2011-07-25 0:00,61473.48,51586.19,59082.89
2011-06-25 0:00,52201.91,47584.09,51971.26
2011-05-26 0:00,50098.2,48203.95,48289.3
2011-04-26 0:00,50684.46,47041.73,49077.12
2011-03-27 0:00,48824.35,45373.1,48443.89
2011-02-25 0:00,46538.95,44491.26,45975.46
2011-01-26 0:00,45604.16,42078.75,45130.71
2010-12-27 0:00,45766.01,42546.29,42836.6
2010-11-27 0:00,45987.32,43537.58,44187.81
2010-10-28 0:00,45781.7,42560.38,43857.42
2010-09-28 0:00,44597.35,41351.17,42687.01
2010-08-29 0:00,41804.65,39631.81,41577.02
2010-07-30 0:00,40005.78,37496.06,39812.63
2010-06-30 0:00,40101.5,37231.08,37555.35
2010-05-31 0:00,40597.35,38494.52,39901.72
2010-05-01 0:00,40178.6,37242.56,38933.61
2010-04-01 0:00,37996.46,35755.59,37920.93
2010-03-02 0:00,36818.54,34903.96,35787.26
2010-01-31 0:00,36372.58,33620.57,35956.68
2010-01-01 0:00,37371.11,34554.72,34770.23
2009-12-02 0:00,39444.79,34575.37,35286.23
2009-11-02 0:00,38637.8,33529.2,38473.89
2009-10-03 0:00,34419.55,32214.54,33529.2
2009-09-03 0:00,32918.98,31340.91,32242.11
2009-08-04 0:00,31531.48,29990.81,31402.81
2009-07-05 0:00,30946.8,29112.57,30745.14
2009-06-05 0:00,31552.8,29387.17,29987.75
2009-05-06 0:00,31816.43,28816.64,31451.08
2009-04-06 0:00,29528.81,27823.91,28859.08
2009-03-07 0:00,31081.48,28439.74,28699.04
2009-02-05 0:00,32317.28,28656.11,30204.04
2009-01-06 0:00,29876.09,25830.82,29116.97
2008-12-07 0:00,28622.17,24293.04,27554.23
2008-11-07 0:00,26666.71,22534.7,24313.52
2008-10-08 0:00,29913.96,21956.54,23551.88
2008-09-08 0:00,29712.16,23686.63,28582.77
2008-08-09 0:00,27841.4,24911.12,26131.95
2008-07-10 0:00,31754.75,27377.23,27538.81
2008-06-10 0:00,30425.75,27605.67,29861.74
2008-05-11 0:00,30072.71,27665.09,28729.24
2008-04-11 0:00,30634.43,27206.71,28455.97
2008-03-12 0:00,33189.62,28124.01,29849.47
2008-02-11 0:00,31908.27,28845.75,31270.56
2008-01-12 0:00,30117.65,27312.6,29594.22
2007-12-13 0:00,28868.54,25250.09,28803.99
2007-11-13 0:00,26901.03,24857.27,26099.62
2007-10-14 0:00,27182.14,23980.53,25445.55
2007-09-14 0:00,24240.16,22645.49,24123.91
2007-08-15 0:00,23010.98,20687.05,22724.78
2007-07-16 0:00,22089.26,21156.66,21542.09
2007-06-16 0:00,21518.12,20585.52,21455.18
2007-05-17 0:00,21675.48,20713.94,21084.93
2007-04-17 0:00,22304.84,21229,21298.72
2007-03-18 0:00,22234.46,20922.32,22205.52
2007-02-16 0:00,22142.81,20343.48,21028.07
2007-01-17 0:00,21629.74,19958.37,21498.71
2006-12-18 0:00,20720.68,19416.78,20077.35
2006-11-18 0:00,20903.73,19743.12,19801.19
2006-10-19 0:00,20474.72,18451.59,19990.87
2006-09-19 0:00,19512.84,18005.21,19041.14
2006-08-20 0:00,20592.86,18360.97,18899.88
2006-07-21 0:00,21104.28,19382.47,19710
2006-06-21 0:00,21749.27,18362.89,20171.41
2006-05-22 0:00,21684.89,17459.47,18600.68
